,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,0,0,0,1,0,3,"Braund, Mr. Owen Harris",0,-0.5657364610748746,0.4327933656785018,-0.4736736092984604,A/5 21171,-0.5024451714361923,,S
2,2,2,2,3,1,3,"Heikkinen, Miss. Laina",1,-0.2583370877897099,-0.4745451962498395,-0.4736736092984604,STON/O2. 3101282,-0.4888542575852486,,S
3,3,3,3,4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,0.4333115021019107,0.4327933656785018,-0.4736736092984604,113803,0.4207302360686478,C123,S
4,4,4,4,5,0,3,"Allen, Mr. William Henry",0,0.4333115021019107,-0.4745451962498395,-0.4736736092984604,373450,-0.4863374216869257,,S
5,5,5,5,6,0,3,"Moran, Mr. James",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,330877,-0.4781164289086437,,Q
6,6,6,6,7,0,1,"McCarthy, Mr. Timothy J",0,1.893458525206443,-0.4745451962498395,-0.4736736092984604,17463,0.395813560675251,E46,S
9,9,9,9,10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",1,-1.180535207645204,0.4327933656785018,-0.4736736092984604,237736,-0.0429555020886142,,C
12,12,12,12,13,0,3,"Saundercock, Mr. William Henry",0,-0.719436147717457,-0.4745451962498395,-0.4736736092984604,A/5. 2151,-0.4863374216869257,,S
14,14,14,14,15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",1,-1.180535207645204,-0.4745451962498395,-0.4736736092984604,350406,-0.4902797934380587,,S
17,17,17,17,18,1,2,"Williams, Mr. Charles Eugene",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,244373,-0.3866707201133388,,S
18,18,18,18,19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,0.125912128816746,0.4327933656785018,-0.4736736092984604,345763,-0.2859972841804228,,S
19,19,19,19,20,1,3,"Masselmani, Mrs. Fatima",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,2649,-0.5029485386158568,,C
20,20,20,20,21,0,2,"Fynney, Mr. Joseph J",0,0.4333115021019107,-0.4745451962498395,-0.4736736092984604,239865,-0.1249197866877571,,S
21,21,21,21,22,1,2,"Beesley, Mr. Lawrence",0,0.3564616587806195,-0.4745451962498395,-0.4736736092984604,248698,-0.3866707201133388,D56,S
22,22,22,22,23,1,3,"McGowan, Miss. Anna ""Annie""",1,-1.1036853643239128,-0.4745451962498395,-0.4736736092984604,330923,-0.4867562231804066,,Q
23,23,23,23,24,1,1,"Sloper, Mr. William Thompson",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,113788,0.0663597415847833,A6,S
26,26,26,26,27,0,3,"Emir, Mr. Farred Chehab",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,2631,-0.5029485386158568,,C
28,28,28,28,29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,330959,-0.489776426258394,,Q
29,29,29,29,30,0,3,"Todoroff, Mr. Lalio",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,349216,-0.4894421904510968,,S
30,30,30,30,31,0,1,"Uruchurtu, Don. Manuel E",0,0.8175607187083667,-0.4745451962498395,-0.4736736092984604,PC 17601,-0.0902720169770847,,C
32,32,32,32,33,1,3,"Glynn, Miss. Mary Agatha",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,335677,-0.4923778278429006,,Q
35,35,35,35,36,0,1,"Holverson, Mr. Alexander Oskar",0,0.9712604053509488,0.4327933656785018,-0.4736736092984604,113789,0.3985820801634062,,S
36,36,36,36,37,1,3,"Mamee, Mr. Hanna",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,2677,-0.5028639729296732,,C
37,37,37,37,38,0,3,"Cann, Mr. Ernest Charles",0,-0.6425863043961658,-0.4745451962498395,-0.4736736092984604,A./5. 2152,-0.4863374216869257,,S
38,38,38,38,39,0,3,"Vander Planke, Miss. Augusta Maria",1,-0.8731358343600393,1.340131927606843,-0.4736736092984604,345764,-0.2859972841804228,,S
39,39,39,39,40,1,3,"Nicola-Yarred, Miss. Jamila",1,-1.180535207645204,0.4327933656785018,-0.4736736092984604,2651,-0.422073540593508,,C
40,40,40,40,41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,0.8175607187083667,0.4327933656785018,-0.4736736092984604,7546,-0.4576454924460446,,S
41,41,41,41,42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",1,-0.1814872444684187,0.4327933656785018,-0.4736736092984604,11668,-0.2255932226206731,,S
42,42,42,42,43,0,3,"Kraeff, Mr. Theodor",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,349253,-0.4894421904510968,,C
44,44,44,44,45,1,3,"Devaney, Miss. Margaret Delia",1,-0.7962859910387481,-0.4745451962498395,-0.4736736092984604,330958,-0.489776426258394,,Q
45,45,45,45,46,0,3,"Rogers, Mr. William John",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,S.C./A.4. 23567,-0.4863374216869257,,S
46,46,46,46,47,0,3,"Lennon, Mr. Denis",0,-0.1046374011471275,0.4327933656785018,-0.4736736092984604,370371,-0.3363340021468808,,Q
47,47,47,47,48,1,3,"O'Driscoll, Miss. Bridget",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,14311,-0.4923778278429006,,Q
48,48,48,48,49,0,3,"Samaan, Mr. Youssef",0,-0.1046374011471275,1.340131927606843,-0.4736736092984604,2662,-0.2119177430835458,,C
49,49,49,49,50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",1,-0.8731358343600393,0.4327933656785018,-0.4736736092984604,349237,-0.2900242216177394,,S
51,51,51,51,52,0,3,"Nosworthy, Mr. Richard Cater",0,-0.6425863043961658,-0.4745451962498395,-0.4736736092984604,A/4. 39886,-0.4913710934835715,,S
53,53,53,53,54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,-0.0277875578258363,0.4327933656785018,-0.4736736092984604,2926,-0.1249197866877571,,S
55,55,55,55,56,1,1,"Woolner, Mr. Hugh",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,19947,0.0663597415847833,C52,S
56,56,56,56,57,1,2,"Rugg, Miss. Emily",1,-0.6425863043961658,-0.4745451962498395,-0.4736736092984604,C.A. 31026,-0.4370074380797968,,S
57,57,57,57,58,0,3,"Novel, Mr. Mansouer",0,-0.0662124794864819,-0.4745451962498395,-0.4736736092984604,2697,-0.5028639729296732,,C
60,60,60,60,61,0,3,"Sirayanian, Mr. Orsen",0,-0.5657364610748746,-0.4745451962498395,-0.4736736092984604,2669,-0.5028639729296732,,C
64,64,64,64,65,0,1,"Stewart, Mr. Albert A",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,PC 17605,-0.0902720169770847,,C
66,66,66,66,67,1,2,"Nye, Mrs. (Elizabeth Ramell)",1,-0.0277875578258363,-0.4745451962498395,-0.4736736092984604,C.A. 29395,-0.4370074380797968,F33,S
67,67,67,67,68,0,3,"Crease, Mr. Ernest James",0,-0.7962859910387481,-0.4745451962498395,-0.4736736092984604,S.P. 3464,-0.4841568350646187,,S
69,69,69,69,70,0,3,"Kink, Mr. Vincenz",0,-0.2583370877897099,1.340131927606843,-0.4736736092984604,315151,-0.4740049257851434,,S
70,70,70,70,71,0,2,"Jenkin, Mr. Stephen Curnow",0,0.2027619721380371,-0.4745451962498395,-0.4736736092984604,C.A. 33111,-0.4370074380797968,,S
73,73,73,73,74,0,3,"Chronopoulos, Mr. Apostolos",0,-0.2583370877897099,0.4327933656785018,-0.4736736092984604,2680,-0.3573908580066095,,C
74,74,74,74,75,1,3,"Bing, Mr. Lee",0,0.2027619721380371,-0.4745451962498395,-0.4736736092984604,1601,0.489103606816847,,S
75,75,75,75,76,0,3,"Moen, Mr. Sigurd Hansen",0,-0.335186931111001,-0.4745451962498395,-0.4736736092984604,348123,-0.494391296561559,F G73,S
76,76,76,76,77,0,3,"Staneff, Mr. Ivan",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,349208,-0.4894421904510968,,S
77,77,77,77,78,0,3,"Moutal, Mr. Rahamin Haim",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,374746,-0.4863374216869257,,S
79,79,79,79,80,1,3,"Dowdell, Miss. Elizabeth",1,0.0490622854954548,-0.4745451962498395,-0.4736736092984604,364516,-0.397241430886295,,S
80,80,80,80,81,0,3,"Waelens, Mr. Achille",0,-0.5657364610748746,-0.4745451962498395,-0.4736736092984604,345767,-0.4672094688596716,,S
81,81,81,81,82,1,3,"Sheerlinck, Mr. Jan Baptist",0,-0.0277875578258363,-0.4745451962498395,-0.4736736092984604,345779,-0.45714212526638,,S
82,82,82,82,83,1,3,"McDermott, Miss. Brigdet Delia",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,330932,-0.4916227770734037,,Q
83,83,83,83,84,0,1,"Carrau, Mr. Francisco M",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,113059,0.2999221129491485,,S
